zip_code,service_code,specialty_code,GEOGRAPHIC_AREA_CD,allowed_amount,rate_found
10001,97811,AP,GN01,23.38,1
10003,97811,AP,,46.76,0
10003,97811,AP,GN01,23.38,1
10007,97110,DC,GN01,19.41,1
10007,98943,DC,GN01,15.99,1
10011,97810,AP,GN01,31.49,1
10011,97811,AP,,46.76,0
10016,97112,PT,GN01,20.29,1
10016,97810,AP,,0.0,0
10016,97810,AP,GN01,31.49,1
10016,97811,AP,,46.76,0
10017,97810,AP,GN01,31.49,1
10019,76830,20105,GN01,95.31,1
10021,97811,AP,GN01,23.38,1
10022,99386,20101,GN01,114.17,1
10025,97810,AP,GN01,31.49,1
10032,97811,AP,GN01,23.38,1
10038,97811,AP,GN01,23.38,1
10075,45380,10301,GN01,240.32,1
10075,97810,AP,GN01,31.49,1
10301,98940,DC,GN01,16.53,1
10305,98940,DC,GN01,16.53,1
10509,97110,PT,,58.88,0
10536,98940,DC,GN01,16.53,1
10541,97112,PT,GN01,20.29,1
10543,97811,10401,GN01,23.38,1
10577,45380,10201,GN01,240.32,1
10577,92014,10414,GN01,94.41,1
10577,92015,30401,GN01,16.92,1
10583,92014,10414,GN01,94.41,1
10601,99385,10301,GN01,98.28,1
10704,97110,DC,,68.26,0
10704,98940,DC,GN01,16.53,1
11010,98940,DC,GN01,16.53,1
11101,90837,CP,GN01,160.89,1
11201,97124,AP,GN01,15.74,1
11201,97810,AP,GN01,31.49,1
11203,99386,20101,GN01,114.17,1
11223,45380,10301,GN01,240.32,1
11354,97110,DC,GN01,19.41,1
11354,97112,DC,GN01,20.29,1
11361,97110,DC,GN01,19.41,1
11375,92014,30401,GN01,94.41,1
11418,92015,30401,GN01,16.92,1
11426,97110,10801,,68.26,0
11426,97110,10801,GN01,19.41,1
11426,97124,10801,GN01,15.74,1
11510,97112,PT,GN01,20.29,1
11530,45380,10307,GN01,240.32,1
11570,45380,10307,GN01,240.32,1
11572,98940,DC,GN01,16.53,1
11580,98940,DC,GN01,16.53,1
11596,97811,AP,,46.76,0
11701,97810,AP,GN01,31.49,1
11706,97124,DC,GN01,15.74,1
11731,97112,PT,GN01,20.29,1
11733,97810,AP,GN01,31.49,1
11756,90837,BHG,GN01,160.89,1
11757,97110,PT,,68.26,0
11758,90837,SW,GN01,120.67,1
11758,97124,AP,GN01,15.74,1
11779,97810,AP,GN01,31.49,1
11780,97810,AP,GN01,31.49,1
11784,97811,AP,GN01,23.38,1
11790,97811,AP,GN01,23.38,1
11793,97110,PT,,58.88,0
12065,97810,AP,NY02,46.4,1
12078,92014,30401,NY02,156.83,1
12189,99386,10301,NY02,145.98,1
12205,97110,DC,NY02,15.37,1
12205,97811,AP,,60.0,0
12524,97124,AP,GN01,15.74,1
12545,98940,DC,GN01,16.53,1
12553,97110,11002,,58.88,0
12866,98940,DC,NY02,20.01,1
13827,97112,PT,NY03,16.19,1
14072,98941,DC,NY04,28.74,1
14217,98943,DC,NY04,19.14,1
14850,92015,OP,NY03,21.04,1
15090,98943,DC,PA03,16.01,1
15228,17000,10601,PA03,57.93,1
16501,92015,10414,PA07,19.19,1
17015,17000,10601,PA04,57.93,1
1760,97124,AP,,19.99,0
1760,97810,AP,,35.03,0
18017,97110,DC,PA01,19.36,1
18042,97110,DC,PA01,19.36,1
18337,97110,DC,PA09,20.14,1
18810,98943,DC,PA09,16.01,1
18901,17000,10601,PA01,61.8,1
18901,98940,DC,PA01,17.95,1
18940,90837,LPC,PA01,110.21,1
19006,17000,10601,PA01,61.8,1
19087,17000,10601,PA01,61.8,1
19094,97811,AP,,62.78,0
19104,99386,20101,PA01,129.83,1
19106,17000,10601,PA01,61.8,1
19355,97811,AP,,62.78,0
19454,97810,AP,PA01,41.95,1
19460,98943,DC,PA01,17.34,1
19512,90837,LPC,PA05,112.35,1
20005,97112,PT,DC01,26.44,1
20007,97112,PT,DC01,26.44,1
20008,97810,AP,DC01,36.72,1
20008,97811,AP,,54.98,0
20009,97810,AP,DC01,36.72,1
20009,97811,AP,,54.98,0
20010,98943,DC,DC01,18.38,1
20024,97810,DC,DC01,36.72,1
20036,97810,AP,DC01,36.72,1
20036,97811,AP,,54.98,0
20121,97810,AP,VA01,36.72,1
20121,97811,AP,,54.98,0
20121,99386,10301,VA01,147.9,1
20147,99213,10601,VA01,73.38,1
20151,97810,AP,VA01,36.72,1
20152,99213,20101,VA01,73.38,1
20164,97110,DC,VA01,22.98,1
20176,17000,10601,VA01,69.92,1
20176,99213,10401,VA01,73.38,1
20190,58300,20101,VA01,95.8,1
2038,98943,DC,,20.32,0
20715,92015,30401,MD02,30.0,1
20740,97811,AP,,54.98,0
20754,98941,DC,MD01,26.48,1
20814,97810,AP,MD02,36.72,1
20814,97811,AP,MD02,27.49,1
20815,92015,OP,,35.5,0
20817,97811,AP,,54.98,0
20850,97811,AP,,54.98,0
20850,97811,AP,MD02,27.49,1
20850,98943,DC,MD02,18.38,1
20852,97110,DC,MD02,22.98,1
20852,97811,AP,,50.0,0
20904,90837,LPC,MD02,101.35,1
21015,97811,AP,MD01,26.59,1
21042,97810,AP,MD02,36.72,1
21044,97124,AP,,145.0,0
21044,97811,AP,,54.98,0
21046,97811,AP,,54.98,0
21084,97112,PT,MD01,24.99,1
21208,97811,AP,,53.18,0
21210,97810,AP,MD01,35.27,1
21224,98940,DC,MD01,18.46,1
21228,97110,PT,MD01,21.76,1
21230,97811,AP,,53.18,0
21234,98940,DC,MD01,18.46,1
21401,97810,AP,MD01,35.27,1
21740,98943,DC,,17.0,0
22003,97810,AP,VA01,36.72,1
22003,97811,AP,VA01,27.49,1
22030,97810,AP,VA01,36.72,1
22031,97810,DC,VA01,36.72,1
22044,98940,DC,VA01,19.39,1
22044,98943,DC,VA01,18.38,1
22046,98940,DC,VA01,19.39,1
22101,97810,AP,VA01,36.72,1
22101,97811,AP,VA01,27.49,1
22151,98943,DC,VA01,18.38,1
22180,98941,DC,VA01,27.74,1
22182,99386,10301,VA01,147.9,1
22193,97112,PT,VA01,26.44,1
22202,98940,DC,VA01,19.39,1
22204,97810,AP,VA01,36.72,1
22204,97811,AP,,54.98,0
22204,97811,DC,,54.98,0
22209,17000,10601,VA01,69.92,1
22304,97124,DC,,40.0,0
22314,97112,PT,VA01,26.44,1
22314,97811,AP,,54.98,0
22401,97810,AP,VA01,36.72,1
22408,99213,10313,VA01,73.38,1
22801,98940,DC,VA04,17.16,1
23059,97112,PT,VA02,22.99,1
23111,17000,10601,VA02,72.4,1
23112,99213,10401,VA02,73.07,1
23229,98941,DC,VA02,24.91,1
23229,99385,10401,VA02,117.57,1
23321,98940,DC,VA03,17.16,1
23430,92015,OP,VA03,17.03,1
23456,98940,DC,VA03,17.16,1
2359,97110,DC,,24.22,0
24014,45378,10307,VA04,211.85,1
24060,17000,10601,VA04,72.4,1
24060,58300,20101,VA04,89.25,1
24153,98940,DC,VA04,17.16,1
27028,98941,DC,NC04,27.29,1
27262,98941,DC,NC04,27.29,1
27265,92015,OP,NC04,19.42,1
27511,90837,BHG,NC02,184.81,1
27573,97110,DC,NC02,24.64,1
27573,98941,DC,NC02,27.29,1
27596,98941,DC,NC02,27.29,1
27615,98941,DC,NC02,27.29,1
27834,55250,31001,NC06,328.35,1
27889,98940,DC,NC06,18.98,1
27889,98943,DC,NC06,18.23,1
27932,98941,DC,NC06,27.29,1
27932,98943,DC,NC06,18.23,1
28078,90837,SW,NC01,138.61,1
28083,98943,DC,NC01,18.23,1
28105,98940,DC,NC01,18.98,1
28173,98940,DC,NC01,18.98,1
28207,98940,DC,NC01,18.98,1
28277,98943,DC,NC01,18.23,1
28328,98941,DC,NC02,27.29,1
28584,97110,PT,NC06,24.64,1
28607,97110,DC,NC05,24.64,1
28607,98943,DC,NC05,18.23,1
28734,90837,BHG,,166.0,0
2896,97110,PT,,27.73,0
2920,45380,10307,,333.29,0
29464,98943,DC,SC01,17.66,1
29492,17000,10601,SC01,72.32,1
29512,97110,DC,SC05,20.75,1
29841,98941,DC,SC02,26.93,1
30009,97811,AP,,50.52,0
30308,97110,DC,GA01,19.67,1
30316,58300,10301,GA01,84.79,1
30329,97811,AP,GA01,25.26,1
32541,58300,20101,FL05,85.22,1
32605,92014,30401,FL01,87.12,1
32901,90837,SW,FL02,102.94,1
33178,97810,AP,FL04,29.14,1
33178,97811,AP,,43.52,0
33326,97810,AP,FL04,29.14,1
33334,92014,30401,FL04,90.99,1
33414,99386,10201,FL04,119.35,1
33467,90837,SW,FL04,79.29,1
33511,97810,DC,FL03,29.57,1
33611,99385,10301,FL03,89.35,1
33611,99386,10301,FL03,104.35,1
33624,98943,DC,FL03,15.0,1
33756,99386,10201,FL03,104.35,1
33812,97110,DC,FL03,16.56,1
34109,98941,DC,FL03,21.59,1
34209,98941,DC,FL03,21.59,1
34453,98941,DC,FL03,21.59,1
34652,98941,DC,FL03,21.59,1
35243,76830,20101,AL04,153.45,1
35758,55250,31001,AL02,500.96,1
35758,99386,20101,AL02,131.13,1
36532,97110,DC,AL03,27.93,1
37128,98941,DC,TN01,23.96,1
37849,92015,30401,TN06,19.12,1
38024,98940,DC,TN02,16.62,1
38355,98940,DC,TN03,17.42,1
39157,90837,BHG,,145.0,0
40299,97110,DC,KY02,19.58,1
4039,92014,OP,,141.7,0
4102,98943,DC,,28.48,0
4240,92015,OP,,22.44,0
43023,90837,SW,,104.21,0
43065,90837,SW,,104.21,0
43623,45378,10307,,184.52,0
44121,92014,10414,,103.58,0
44145,17000,10601,,55.38,0
44145,90837,LPC,,104.21,0
4473,98943,DC,,28.48,0
45044,98940,DC,,19.08,0
45409,98943,DC,,18.77,0
46040,58300,10201,IN04,109.26,1
4605,98941,DC,,42.24,0
46055,90837,CP,IN04,142.78,1
46582,92015,OP,IN05,16.23,1
47025,98941,DC,,27.42,0
48323,99213,10401,MI01,91.58,1
48377,97810,10801,,49.14,0
50111,98941,DC,IA01,25.34,1
53226,80053,LB,WI01,12.67,1
57110,97110,DC,,20.76,0
60048,92014,30401,IL02,109.02,1
60062,90837,BHG,IL02,154.74,1
60091,90837,SW,IL02,116.05,1
60175,97112,PT,IL02,27.5,1
60187,99385,90351,IL02,118.51,1
60301,90837,BHG,IL02,154.74,1
60416,90837,SW,IL04,110.93,1
60435,90837,LPC,IL02,116.05,1
60510,90837,BHG,IL02,154.74,1
60540,58300,20101,IL02,105.45,1
60563,97811,10301,,60.64,0
60605,99386,10601,IL02,136.42,1
60618,90837,LPC,IL02,116.05,1
60618,97811,BHG,,60.64,0
6105,92015,OP,,22.36,0
6107,97810,AP,,50.34,0
6119,97810,AP,,50.34,0
6119,98940,DC,,29.49,0
61350,90837,SW,IL05,108.75,1
61761,98941,DC,,57.78,0
61821,98941,DC,IL05,28.29,1
62704,98943,DC,IL05,19.68,1
62959,98940,DC,IL05,21.29,1
63090,99213,10401,MO03,63.23,1
63118,98940,DC,MO03,21.29,1
63127,17000,10601,MO03,49.11,1
63376,92014,30401,MO03,108.06,1
64068,92014,30401,MO02,96.15,1
64068,92015,OP,MO02,14.82,1
64116,98943,DC,MO02,19.68,1
64154,17000,10601,MO02,57.26,1
6470,97112,DC,,31.07,0
66048,45378,10307,KS01,190.8,1
6611,97112,PT,,108.9,0
67037,90837,MT,KS02,105.97,1
67212,90837,MT,KS02,105.97,1
67230,90837,MT,KS02,105.97,1
6804,97810,AP,,50.34,0
6810,97112,PT,,31.07,0
6880,97811,AP,,74.82,0
6897,98943,DC,,27.96,0
6902,92014,OP,,142.42,0
6905,97110,DC,,29.73,0
70119,98940,DC,LA01,23.56,1
7023,97110,DC,,20.28,0
7024,97110,DC,,20.28,0
7030,98941,DC,,24.43,0
7042,97811,AP,,38.42,0
70506,98940,DC,LA04,25.04,1
7052,97112,PT,,20.87,0
7054,97112,PT,,20.87,0
7059,97810,AP,,25.05,0
70737,98943,DC,LA03,26.08,1
7078,98940,DC,,17.47,0
7090,97124,DC,,16.17,0
7090,98943,DC,,16.79,0
7104,99385,20101,,113.72,0
7109,92015,30401,,35.0,0
72015,90837,LPC,AR01,78.49,1
7410,58300,20101,,79.02,0
7450,97811,AP,,19.21,0
75087,98941,DC,TX01,22.93,1
75093,97110,DC,TX01,14.04,1
75231,97811,AP,,44.66,0
7632,97110,DC,,20.28,0
7649,76830,PAS,,192.0,0
7649,97811,AP,,38.42,0
7663,97110,DC,,20.28,0
7675,17000,10601,,61.48,0
77079,90837,LPC,TX03,114.01,1
7712,92014,30401,,80.1,0
7731,97110,DC,,20.28,0
77584,55250,31001,TX03,394.14,1
78006,17000,10601,TX02,60.55,1
78163,17000,10601,TX02,60.55,1
7825,98943,DC,,16.79,0
78258,97112,PT,TX02,22.04,1
7834,97112,PT,,20.87,0
7834,98940,DC,,17.47,0
78664,98943,DC,TX04,15.08,1
78757,98943,DC,TX04,15.08,1
7974,92015,OP,,36.15,0
8003,97810,AP,,36.13,0
80111,97810,AP,,41.66,0
8012,98943,DC,,15.67,0
80218,17000,10601,,69.3,0
80233,97811,AP,,62.52,0
8027,98940,DC,,15.8,0
8043,90837,SW,,120.1,0
8043,98941,DC,,23.12,0
8054,17000,10601,,66.6,0
8054,97810,AP,,36.13,0
8054,98943,DC,,15.67,0
8094,98941,DC,,23.12,0
8094,98943,DC,,15.67,0
8096,98941,DC,,23.12,0
8215,97112,OT,,19.36,0
82901,97110,PT,WY01,30.0,1
82930,90837,LPC,WY01,116.09,1
83202,90837,CP,ID02,144.0,1
8322,97810,AP,,36.13,0
83687,45380,10307,ID01,587.35,1
83814,17000,10601,WA03,88.53,1
83814,55250,31001,WA03,495.92,1
83835,58300,10201,,90.0,0
84010,97112,PT,UT01,32.94,1
84041,90837,SW,UT01,92.39,1
84043,90837,LPC,UT01,92.39,1
84095,97112,PT,UT01,32.94,1
84095,97810,AP,UT01,41.42,1
84660,97112,PT,UT01,32.94,1
84770,98941,DC,UT01,35.0,1
84790,90837,MT,UT01,92.39,1
84790,90837,SW,UT01,92.39,1
85018,58300,10201,,94.92,0
8505,97811,AP,,54.22,0
85224,58300,20101,,94.92,0
8527,97110,DC,,20.28,0
8534,90837,BHG,,160.14,0
8550,98941,DC,,23.12,0
85653,92014,30401,,115.64,0
8610,98941,DC,,23.12,0
8619,99386,10301,,127.75,0
8648,92015,OP,,20.94,0
8691,98943,DC,,15.67,0
87109,45380,10301,NM01,289.58,1
8742,99213,10401,,53.51,0
8753,90837,LPC,,127.86,0
8804,98943,DC,,16.79,0
8807,98940,DC,,17.47,0
8816,92015,OP,,36.15,0
89052,99385,20101,NV01,102.82,1
89106,90837,SW,NV01,110.02,1
89120,99386,10301,NV01,118.93,1
89123,98941,DC,NV01,30.29,1
89128,99385,10201,NV01,102.82,1
89502,97810,AP,NV02,43.99,1
89509,97811,AP,,66.26,0
89511,76830,20101,NV02,134.45,1
89511,97124,AP,,25.0,0
89521,98941,DC,NV02,30.29,1
89523,98941,DC,NV02,30.29,1
90025,97810,AP,CA02,34.07,1
90069,76830,20101,CA02,126.18,1
90069,97810,AP,CA02,34.07,1
90703,97810,AP,CA02,34.07,1
90720,55250,31001,,462.02,0
90815,97810,AP,CA02,34.07,1
91748,97810,AP,CA02,34.07,1
91786,99386,10201,,114.8,0
92653,98940,DC,,24.0,0
93551,97112,10801,CA02,22.61,1
95128,97110,AP,,21.99,0
95376,98943,DC,CA05,22.0,1
96002,90837,BHG,,100.0,0
97013,98941,DC,OR01,31.2,1
97062,55250,31001,OR01,520.54,1
98026,92015,OP,WA01,25.78,1
98029,97112,PT,WA01,33.18,1
98034,99385,10301,WA01,172.23,1
98052,97810,AP,WA01,42.75,1
98104,99385,10201,WA01,172.23,1
98115,92014,OP,WA01,173.71,1
98125,97811,ND,,70.94,0
98133,99213,10401,WA01,103.82,1
98166,99213,10401,WA01,103.82,1
98201,90837,CP,WA01,142.69,1
98226,45380,10307,WA01,272.47,1
98233,98941,DC,WA01,38.61,1
98270,98943,DC,WA01,25.69,1
98382,92014,OP,,165.0,0
98391,97810,AP,WA01,42.75,1
98409,92015,OP,WA01,25.78,1
99206,90837,CP,WA03,142.69,1
99352,45378,30201,WA03,251.28,1
99352,90837,91006,WA03,142.69,1
99503,92014,OP,,339.0,0
99503,97810,ND,AK01,83.92,1
99503,97811,AP,,128.22,0
99503,98941,DC,AK01,84.44,1
99508,97112,PT,AK01,66.39,1
99508,97811,AP,AK01,64.11,1
99686,90837,SW,AK01,169.37,1
99701,92014,OP,,275.0,0
99709,97110,PT,AK02,58.1,1
99801,92014,OP,,240.0,0
99801,97811,AP,,128.22,0